topology,run,phase,algo,u,v,cap_uniform,cap_before_stress,cap_after_stress,usage_routed,util_routed,usage_shortest_init,usage_routed_init,util_shortest_init,util_routed_init,violated,num_switches,switches,paths,ebc,is_stressed,stress_threshold,cap_change_pct,alpha,beta,link_sens,k_paths,load_sens,controller_sens
AttMpls,0,SM,B1,16,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,16,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,16,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,17,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,18,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,18,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,18,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,19,22,100600.0,30291.592,30291.592,21888.0,0.7226,21888.0,21888.0,0.7226,0.7226,0,1,"(19, 3)","(19, 3):19->22->3",0.043333,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,20,21,100600.0,38390.306,38390.306,24704.0,0.6435,24704.0,24704.0,0.6435,0.6435,0,1,"(20, 3)","(20, 3):20->21->3",0.036667,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,22,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,23,24,100600.0,41292.423,41292.423,23680.0,0.5735,23680.0,23680.0,0.5735,0.5735,0,1,"(24, 2)","(24, 2):24->23->10->4->7->2",0.063333,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,23,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,24,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,1,2,100600.0,278906.171,278906.171,260864.0,0.9353,260864.0,260864.0,0.9353,0.9353,0,11,32|33|15|16|17|18|19|20|21|22|23,15:15->19->10->9->7->2->1->4 || 16:16->17->18->19->10->9->7->2->1->4 || 17:17->18->19->10->9->7->2->1->4 || 18:18->19->10->9->7->2->1->4 || 19:19->10->9->7->2->1->4 || 20:20->14->7->2->1->4 || 21:21->20->14->7->2->1->4 || 22:22->21->20->14->7->2->1->4 || 23:23->22->21->20->14->7->2->1->4->3 || 32:32->33->24->25->3->4->1->2 || 33:33->24->25->3->4->1->2,0.267045,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,1,4,100600.0,295154.095,295154.095,260864.0,0.8838,260864.0,260864.0,0.8838,0.8838,0,11,32|33|15|16|17|18|19|20|21|22|23,15:15->19->10->9->7->2->1->4 || 16:16->17->18->19->10->9->7->2->1->4 || 17:17->18->19->10->9->7->2->1->4 || 18:18->19->10->9->7->2->1->4 || 19:19->10->9->7->2->1->4 || 20:20->14->7->2->1->4 || 21:21->20->14->7->2->1->4 || 22:22->21->20->14->7->2->1->4 || 23:23->22->21->20->14->7->2->1->4->3 || 32:32->33->24->25->3->4->1->2 || 33:33->24->25->3->4->1->2,0.255682,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
